Image Names    ,License text ,My predicted text
plate_0001.jpg ,RI9498P      ,RI949BP
plate_0004.jpg ,SK568HP      ,SK568HP
plate_0007.jpg ,DA949HD      ,ID4949HD
plate_0009.jpg ,ZG1108BB     ,ZG1108BB
plate_0010.jpg ,ZG474DU      ,ZG474DU
plate_0011.jpg ,ZG7983BF     ,ZG7983BF
plate_0013.jpg ,ZG763VE      ,ZG763VE
plate_0014.jpg ,ZG5715HB     ,ZG5715HB
plate_0016.jpg ,ZG006AG      ,ZG006AG
plate_0017.jpg ,ZG548TL      ,ZG548TL
plate_0019.jpg ,ZG3833AK     ,ZG3833AK
plate_0024.jpg ,PU659GB      ,PU659GB
plate_0026.jpg ,ZG7029M      ,ZG7029M
plate_0028.jpg ,ZG932UG      ,ZG0932UG
plate_0029.jpg ,NG794CB      ,NG794CB
plate_0032.jpg ,ZG4094O      ,ZG409AO
plate_0033.jpg ,ST841MK      ,ST841MK
plate_0035.jpg ,ZG7761JA     ,ZG7761JA
plate_0036.jpg ,ZG687NL      ,ZG687NL
plate_0037.jpg ,VZ283RK      ,ZZ2283RK
plate_0043.jpg ,ST4015O      ,ST5401SO
plate_0044.jpg ,NG136BK      ,NG136BK
plate_0046.jpg ,ZG627EK      ,ZG627EK
plate_0047.jpg ,SL290BF      ,SL290BF
plate_0048.jpg ,ZG5017JA     ,ZG5017JA
plate_0049.jpg ,VK700FS      ,VKT700FS
plate_0050.jpg ,OG692O       ,OG692O
plate_0051.jpg ,RI3943K      ,LR1394JK
plate_0054.jpg ,983T939      ,9B3T9J9
plate_0058.jpg ,KR691CI      ,KR691C
plate_0060.jpg ,KR710FE      ,KRZ10FE
plate_0066.jpg ,DU986BM      ,DU986BM
plate_0067.jpg ,ZG4154AC     ,ZG454A
plate_0068.jpg ,ZG7533AC     ,ZG7533AC
plate_0069.jpg ,BJ306EP      ,BJ306EP
plate_0072.jpg ,ZG0005IS     ,ZG0005IS
plate_0074.jpg ,VZ130OS      ,VZ130OS
plate_0076.jpg ,KT609HB      ,IHR609A
plate_0077.jpg ,VK122FV      ,VK122FV
plate_0079.jpg ,KC620AL      ,KC620AL
plate_0084.jpg ,VU718DO      ,VU718OO
plate_0085.jpg ,ZG636TT      ,ZG636TT
plate_0091.jpg ,NA327DO      ,NAV327DO
plate_0092.jpg ,ZG051DM      ,ZG051DM
plate_0094.jpg ,ZG568TM      ,ZG568TM
plate_0095.jpg ,ZG8031FR     ,ZG8031FR
plate_0097.jpg ,VU271K       ,VU271K
plate_0104.jpg ,VZ827IU      ,VZV827IU
plate_0107.jpg ,SI582AM      ,SL582AM
plate_0108.jpg ,ZG41340      ,ZG413AO
plate_0112.jpg ,KR442JH      ,KR442JH
plate_0113.jpg ,ZD816KA      ,ZD816KA
plate_0114.jpg ,DU993V       ,DU993V
plate_0115.jpg ,ZG4309AG     ,ZG4309AG
plate_0116.jpg ,PU781D       ,PU781D
plate_0118.jpg ,DA585HC      ,DA585HC
plate_0120.jpg ,ZG414BV      ,ZG414BV
plate_0121.jpg ,SB798AM      ,SB798AM
plate_0122.jpg ,KR988AP      ,KR988AP
plate_0123.jpg ,ZG6771IG     ,ZG6771IG
plate_0124.jpg ,ST8457A      ,ST845ZA
plate_0127.jpg ,ZG367SO      ,ZG367SO
plate_0129.jpg ,RI1459J      ,RI1459
plate_0130.jpg ,ZG2424B      ,ZG242AB
plate_0133.jpg ,SI817GN      ,SI817GN
plate_0136.jpg ,ZG4200II     ,ZG420O
plate_0139.jpg ,ST2811KJ     ,ST2811KJ
plate_0143.jpg ,KR0311J      ,KR031IJ
plate_0147.jpg ,KR460MJ      ,KR460MJ
plate_0149.jpg ,ZG8258H      ,ZG825BH
plate_0150.jpg ,OS354PM      ,OS354PM
plate_0152.jpg ,VU135F       ,VU135F
plate_0153.jpg ,ZG710KS      ,ZGZ10KS
plate_0155.jpg ,VZ623RD      ,VZ623RD
plate_0156.jpg ,PZ148EM      ,PZ148EM
plate_0157.jpg ,NG980U       ,NG980U
plate_0159.jpg ,ZG3375DN     ,ZG3375DM
plate_0161.jpg ,ZG5614EJ     ,ZG5614EJ
plate_0166.jpg ,ZG536VL      ,ZG2536VL
plate_0176.jpg ,VZ840JJ      ,VZ840JJ
